#transition from d -> e
#start e - these are 100m long, should be 150..
connection 67 1477.28 3332.20 0
connection 68 1377.28 3332.20 0
connection 69 1277.28 3332.20 0
#start o
connection 70 1177.28 3332.20 0
connection 71 1090.68 3332.20 0
connection 72 990.68 3332.20 0
#start p
connection 73 925.73 3294.70 0
connection 74 888.23 3229.75 0
connection 75 868.82 3157.31 0
connection 76 888.23 3084.86 0
connection 77 925.73 3019.91 0
connection 78 963.23 2982.41 0
connection 79 1038.23 2982.41 0
connection 80 1075.73 3019.91 0
#start q
connection 81 1095.14 3092.35 0
connection 82 1114.55 3164.79 0
connection 83 1152.05 3229.74 0
#start r (from conn 60)
connection 84 2302.03 3301.45 0
#start s
connection 85 2402.03 3301.45 0
connection 86 2501.03 3301.45 0
connection 87 2581.03 3301.45 0
#start t
connection 88 2677.62 3275.67 0
connection 89 2764.22 3225.67 0
connection 90 2827.86 3162.03 0
connection 91 2862.06 3063.55 0
connection 92 2879.42 2965.07 0
#start u (these were resized from 100 to 50 because u was longer than k...)
connection 92 2879.42 2915.07 0
connection 93 2879.42 2865.07 0
connection 94 2879.42 2815.07 0
connection 95 2879.42 2765.07 0
connection 96 2879.42 2715.07 0
connection 97 2879.42 2665.07 0
connection 98 2879.42 2615.07 0
connection 99 2879.42 2565.07 0
#start v
connection 100 2862.32 2518.09 0
connection 101 2829.18 2479.79 0
connection 102 2794.54 2459.79 0
connection 103 2747.56 2442.69 0
connection 104 2698.32 2434.00 0
#start w (didn't line up with i so last node is really long...)
connection 103 2648.32 2434.00 0
connection 104 2598.32 2434.00 0
connection 105 2548.32 2434.00 0
connection 106 2498.32 2434.00 0
connection 107 2448.32 2434.00 0
connection 108 2398.32 2434.00 0
connection 109 2348.32 2434.00 0
connection 110 2298.32 2434.00 0
connection 111 2248.32 2434.00 0
connection 112 2198.32 2434.00 0
connection 113 2148.32 2434.00 0
connection 114 2098.32 2434.00 0
connection 115 2048.32 2434.00 0
connection 116 1998.32 2434.00 0
connection 117 1948.32 2434.00 0
connection 118 1898.32 2434.00 0
connection 119 1848.32 2434.00 0
connection 120 1798.32 2434.00 0
connection 121 1748.32 2434.00 0
connection 122 1698.32 2434.00 0
connection 123 1648.32 2434.00 0
connection 124 1598.32 2434.00 0
connection 125 1548.32 2434.00 0
connection 126 500.00 2434.00 0
#start x
connection 127 456.70 2409.00 0
connection 128 421.34 2373.64 0
connection 129 396.34 2330.39 0
#start y
connection 130 396.34 2280.39 0
connection 131 396.34 2240.39 0
connection 132 396.34 2200.39 0
#start z
connection 133 396.34 2150.39 0
#start d from e (connection 0 700 100 0)
connection 134 850 100 0
connection 135 1000 100 0
connection 136 1150 100 0
connection 137 1300 100 0
#start a
connection 138 1370.71 170.71 0
connection 139 1441.42 220.91 0
connection 140 1512.13 291.62 0
#start b
connection 141 1612.13 291.62 0
connection 142 1712.13 291.62 0
connection 143 1812.13 291.62 0
#start c
connection 144 1812.13 191.62 0
connection 145 1812.13 91.62 0
connection 146 1812.13 5 0
connection 147 1712.13 5 0
connection 148 1612.13 5 0
linearblock 1 137 138 0
linearblock 2 138 139 0
linearblock 3 139 140 0
linearblock 4 140 141 0
linearblock 5 141 142 0
linearblock 6 142 143 0
linearblock 7 143 144 0
linearblock 8 144 145 0
linearblock 9 145 146 0
linearblock 10 146 147 0
linearblock 11 147 148 0
linearblock 12 148 137 0
linearblock 16 0 134 0
linearblock 15 134 135 0
linearblock 14 135 136 0
linearblock 13 136 137 0
linearblock 17 0 1 0
linearblock 18 1 2 0
linearblock 19 2 3 0
linearblock 20 3 4 0
linearblock 21 4 5 0
linearblock 22 5 6 0
linearblock 23 6 7 0
linearblock 24 7 8 0
linearblock 25 8 9 0
linearblock 26 9 10 0
linearblock 27 10 11 0
linearblock 28 11 12 0
linearblock 29 12 13 0
linearblock 30 13 14 0
linearblock 31 14 15 0
linearblock 32 15 16 0
linearblock 33 16 17 0
linearblock 34 17 18 0
linearblock 35 18 19 0
linearblock 36 19 20 0
linearblock 37 20 21 0
linearblock 38 21 22 0
linearblock 39 22 23 0
linearblock 40 23 24 0
linearblock 41 24 25 0
linearblock 42 25 26 0
linearblock 43 26 27 0
linearblock 44 27 28 0
linearblock 45 28 29 0
linearblock 46 29 30 0
linearblock 47 30 31 0
linearblock 48 31 32 0
linearblock 49 32 33 0
linearblock 50 33 34 0
linearblock 51 34 35 0
linearblock 52 35 36 0
linearblock 53 36 37 0
linearblock 54 37 38 0
linearblock 55 38 39 0
linearblock 56 39 40 0
linearblock 57 40 41 0
linearblock 58 41 42 0
linearblock 59 42 43 0
linearblock 60 43 44 0
linearblock 61 44 45 0
linearblock 62 45 46 0
linearblock 63 46 47 0
linearblock 64 47 48 0
linearblock 65 48 49 0
linearblock 66 49 50 0
linearblock 67 50 51 0
linearblock 68 51 52 0
linearblock 69 52 53 0
linearblock 70 53 54 0
linearblock 71 54 55 0
linearblock 72 55 56 0
linearblock 73 56 57 0
linearblock 74 57 58 0
linearblock 75 58 59 0
linearblock 76 59 60 0
linearblock 77 60 61 0
linearblock 78 61 62 0
linearblock 79 62 63 0
linearblock 80 63 64 0
linearblock 81 64 65 0
linearblock 82 65 66 0
linearblock 83 66 67 0
linearblock 84 67 68 0
linearblock 85 68 69 0
linearblock 86 69 70 0
linearblock 84 67 68 0
linearblock 85 68 69 0
linearblock 86 69 70 0
linearblock 87 70 71 0
linearblock 88 71 72 0
linearblock 89 72 73 0
linearblock 90 73 74 0
linearblock 91 74 75 0
linearblock 92 75 76 0
linearblock 93 76 77 0
linearblock 94 77 78 0
linearblock 95 78 79 0
linearblock 96 79 80 0
linearblock 97 80 81 0
linearblock 98 81 82 0
linearblock 99 82 83 0
linearblock 100 83 69 0
linearblock 101 60 84 0
linearblock 102 84 85 0
linearblock 103 85 86 0
linearblock 104 86 87 0
linearblock 105 87 88 0
linearblock 106 88 89 0
linearblock 107 89 90 0
linearblock 108 90 91 0
linearblock 109 91 92 0
linearblock 110 92 93 0
linearblock 111 93 94 0
linearblock 112 94 95 0
linearblock 113 95 96 0
linearblock 114 96 97 0
linearblock 115 97 98 0
linearblock 116 98 99 0
linearblock 117 99 100 0
linearblock 118 100 101 0
linearblock 119 101 102 0
linearblock 120 102 103 0
linearblock 121 103 104 0
linearblock 122 104 105 0
linearblock 123 105 106 0
linearblock 124 106 107 0
linearblock 125 107 108 0
linearblock 126 108 109 0
linearblock 127 109 110 0
linearblock 128 110 111 0
linearblock 129 111 112 0
linearblock 130 112 113 0
linearblock 131 113 114 0
linearblock 132 114 115 0
linearblock 133 115 116 0
linearblock 134 116 117 0
linearblock 135 117 118 0
linearblock 136 118 119 0
linearblock 137 119 120 0
linearblock 138 120 121 0
linearblock 139 121 122 0
linearblock 140 122 123 0
linearblock 141 123 124 0
linearblock 142 124 125 0
linearblock 143 125 126 0
linearblock 144 126 127 0
linearblock 145 127 128 0
linearblock 146 128 129 0
linearblock 146 129 130 0
linearblock 147 130 131 0
linearblock 148 131 132 0
linearblock 149 132 133 0
linearblock 150 133 12 0
